Date,Symbol,Indexvalue
24.08.2011,V2TX,42.1282
25.08.2011,V2TX,44.3803
26.08.2011,V2TX,43.5524
29.08.2011,V2TX,39.2544
30.08.2011,V2TX,38.1572
31.08.2011,V2TX,35.6495
01.09.2011,V2TX,36.5683
02.09.2011,V2TX,40.0959
05.09.2011,V2TX,46.8414
06.09.2011,V2TX,47.8677
07.09.2011,V2TX,43.4696
08.09.2011,V2TX,41.6299
09.09.2011,V2TX,49.7943
12.09.2011,V2TX,53.5472
13.09.2011,V2TX,49.1151
14.09.2011,V2TX,46.7296
15.09.2011,V2TX,42.2886
16.09.2011,V2TX,42.963
19.09.2011,V2TX,45.6132
20.09.2011,V2TX,42.7855
21.09.2011,V2TX,44.1387
22.09.2011,V2TX,47.781
23.09.2011,V2TX,48.5408
26.09.2011,V2TX,49.2866
27.09.2011,V2TX,45.5196
28.09.2011,V2TX,46.3864
29.09.2011,V2TX,44.442
30.09.2011,V2TX,46.6796
03.10.2011,V2TX,48.6534
04.10.2011,V2TX,50.4407
05.10.2011,V2TX,45.597
06.10.2011,V2TX,42.6277
07.10.2011,V2TX,40.5639
10.10.2011,V2TX,37.9148
11.10.2011,V2TX,38.1751
12.10.2011,V2TX,35.7679
13.10.2011,V2TX,38.7483
14.10.2011,V2TX,34.9396
17.10.2011,V2TX,38.8089
18.10.2011,V2TX,39.665
19.10.2011,V2TX,39.8925
20.10.2011,V2TX,44.6144
21.10.2011,V2TX,40.7402
24.10.2011,V2TX,37.3083
25.10.2011,V2TX,37.8419
26.10.2011,V2TX,37.7721
27.10.2011,V2TX,30.3371
28.10.2011,V2TX,31.2429
31.10.2011,V2TX,35.1198
01.11.2011,V2TX,42.9562
02.11.2011,V2TX,42.1425
03.11.2011,V2TX,40.054
04.11.2011,V2TX,41.4944
07.11.2011,V2TX,42.2205
08.11.2011,V2TX,39.6689
09.11.2011,V2TX,41.7228
10.11.2011,V2TX,43.7184
11.11.2011,V2TX,39.5323
14.11.2011,V2TX,40.1517
15.11.2011,V2TX,39.6113
16.11.2011,V2TX,38.0763
17.11.2011,V2TX,39.0576
18.11.2011,V2TX,38.2997
21.11.2011,V2TX,41.2081
22.11.2011,V2TX,39.5623
23.11.2011,V2TX,40.9728
24.11.2011,V2TX,40.3246
25.11.2011,V2TX,40.8202
28.11.2011,V2TX,38.9704
29.11.2011,V2TX,38.6637
30.11.2011,V2TX,37.0829
01.12.2011,V2TX,36.5396
02.12.2011,V2TX,35.6881
05.12.2011,V2TX,35.9744
06.12.2011,V2TX,36.9213
07.12.2011,V2TX,37.2166
08.12.2011,V2TX,39.3825
09.12.2011,V2TX,34.9028
12.12.2011,V2TX,36.2503
13.12.2011,V2TX,33.6736
14.12.2011,V2TX,34.4891
15.12.2011,V2TX,31.424
16.12.2011,V2TX,31.1426
19.12.2011,V2TX,30.9926
20.12.2011,V2TX,30.3271
21.12.2011,V2TX,30.2552
22.12.2011,V2TX,28.8742
23.12.2011,V2TX,28.5177
27.12.2011,V2TX,29.749
28.12.2011,V2TX,31.8173
29.12.2011,V2TX,32.1867
30.12.2011,V2TX,32.1544
02.01.2012,V2TX,31.3029
03.01.2012,V2TX,30.017
04.01.2012,V2TX,30.4656
05.01.2012,V2TX,31.0151
06.01.2012,V2TX,30.5586
